player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Dominique Malonga,player_points,20.5,under,-128,draftkings,0.4862,0.5267,-0.0405,-0.134,0.0,0,1,0.0,0.0,0
Chelsea Gray,player_points,11.5,under,-103,draftkings,0.4293,0.471,-0.0417,-0.1539,0.0,0,1,0.0,0.0,0
Aliyah Boston,player_assists,3.5,under,-169,draftkings,0.5607,0.6039,-0.0432,-0.1075,0.0,0,3,0.0,0.0,0
Kelsey Mitchell,player_points,25.5,under,-106,draftkings,0.453,0.4966,-0.0436,-0.1196,0.0,0,3,0.0,0.0,0
Natasha Howard,player_points,12.5,under,-125,fanduel,0.4852,0.529,-0.0438,-0.1266,0.0,0,3,0.0,0.0,0
Georgia Amoore,player_points,5.5,under,-135,draftkings,0.4978,0.5423,-0.0445,-0.1335,0.0,0,2,0.0,0.0,0
Charlisse Leger-Walker,player_assists,3.5,under,-137,betonlineag,0.5053,0.5507,-0.0454,-0.1259,0.0,0,3,0.0,0.0,0
Charlisse Leger-Walker,player_points,6.5,under,-114,fanduel,0.4543,0.5,-0.0457,-0.1472,0.0,0,3,0.0,0.0,0
Olivia Nelson-Ododa,player_points,10.5,over,-102,betonlineag,0.4384,0.4855,-0.0471,-0.1318,0.0,0,3,0.0,0.0,0
Dearica Hamby,player_rebounds,6.5,under,-104,draftkings,0.4356,0.4843,-0.0487,-0.1456,0.0,0,3,0.0,0.0,0
Sonia Citron,player_assists,4.5,under,-165,draftkings,0.5393,0.5884,-0.0491,-0.1339,0.0,0,1,0.0,0.0,0
Rae Burrell,player_points,15.5,under,-114,fanduel,0.4524,0.5022,-0.0498,-0.1508,0.0,0,3,0.0,0.0,0
Dominique Malonga,player_points,19.5,under,-110,fanduel,0.4402,0.491,-0.0508,-0.1596,0.0,0,2,0.0,0.0,0
Natasha Howard,player_rebounds,6.5,under,-110,betonlineag,0.4644,0.5157,-0.0513,-0.1134,0.0,0,3,0.0,0.0,0
Courtney Williams,player_rebounds,4.5,under,-106,fanduel,0.4348,0.4865,-0.0517,-0.155,0.0,0,3,0.0,0.0,0
Dearica Hamby,player_points,13.5,under,-102,draftkings,0.4168,0.4688,-0.052,-0.1746,0.0,0,1,0.0,0.0,0
Nneka Ogwumike,player_assists,3.5,under,-153,draftkings,0.5475,0.5998,-0.0523,-0.0947,0.0,0,3,0.0,0.0,0
Natasha Howard,player_assists,3.5,over,114,draftkings,0.3821,0.4353,-0.0532,-0.1823,0.0,0,3,0.0,0.0,0
Dominique Malonga,player_assists,1.5,under,124,fanduel,0.3548,0.408,-0.0532,-0.2052,0.0,0,1,0.0,0.0,0
Angel Reese,player_assists,2.5,under,-124,draftkings,0.4696,0.5248,-0.0552,-0.1517,0.0,0,3,0.0,0.0,0
Aliyah Boston,player_points,16.5,under,-112,betonlineag,0.4416,0.4977,-0.0561,-0.1641,0.0,0,3,0.0,0.0,0
